cs,en,facet,source,source_id,doc_count,occurrences,example_lines
pilota,pier,Feature,amcr,HES-000450,0,0,
pinakothéka,pinacotheca,Feature,teater,1549,0,0,
pinax,pinax,Artefact,teater,1871,0,0,
pinka,binge,Feature,amcr,HES-000562,0,0,
pinzeta,tweezers,Artefact,amcr,HES-000808,0,0,
piscina,piscina,Feature,teater,1616,0,0,
pithos,pithos,Artefact,teater,2065,0,0,
pivo,beer,Artefact,teater,2426,0,0,
pivovar,brewery,Activity Area,amcr,HES-000080,0,0,
plast,plastic,Material,amcr,HES-000942,0,0,
plastika/soška,sculpture/statue,Artefact,amcr,HES-000750,0,0,
platidlo,currency,Artefact,amcr,HES-000848,0,0,
plech,metal sheet,Artefact,amcr,HES-000680,0,0,
pleistocén,pleistocene,Chronology,teater,1060,0,0,
pleva,husk,Artefact,teater,1942,0,0,
plevel,weed,Artefact,teater,1941,0,0,
plinthos,plinth,Artefact,teater,1804,0,0,
plot,fence,Feature,teater,1635,0,0,
plošina,platform,Feature,amcr,HES-000569,0,0,
plužina,field system,Feature,amcr,HES-000504,0,0,
pochva,scabbard,Artefact,teater,1972,0,0,
pochva/pouzdro,sheath,Artefact,amcr,HES-000677,0,0,
podhradí,extramural settlement,Activity Area,teater,1446,0,0,
podkova,horseshoe,Artefact,amcr,HES-000746,0,0,
podorničí/podloží,subsoil,Finds Context,amcr,HES-000248,0,0,
pohár/číše,beaker/goblet,Artefact,amcr,HES-000722,0,0,
pohřbívání,burial activity,Activity Area,amcr,HES-000002,0,0,
pohřebiště/hřbitov,cemetery/graveyard,Activity Area,amcr,HES-000027,0,0,
pojivo,binder,Artefact,amcr,HES-000740,0,0,
poklad,treasure,Activity Area,teater,1301,0,0,
poklice,lid,Artefact,teater,2067,0,0,
poklička,lid,Artefact,amcr,HES-000724,0,0,
polenta,polenta,Artefact,teater,2427,0,0,
polotovar,semifinished artefact,Artefact,teater,2302,0,0,
polyptychon,polyptych,Artefact,teater,2247,0,0,
pomník/památník,memorial,Activity Area,amcr,HES-000128,0,0,
popelnice,urn,Artefact,amcr,HES-000726,0,0,
popraviště,execution site,Activity Area,amcr,HES-000058,0,0,
porcelán,porcelain,Material,teater,2472,0,0,
portál,portal,Artefact,amcr,HES-000711,0,0,
postroj/doprava,harness/transportation,Artefact,amcr,HES-000742,0,0,
potrubí,plumbing pipe,Artefact,amcr,HES-000741,0,0,
poustevna,hermitage,Feature,teater,1729,0,0,
poutko,loop,Artefact,teater,2349,0,0,
pouzdro,case,Artefact,teater,2327,0,0,
praetorium,praetorium,Feature,teater,1550,0,0,
prahory,Archean,Chronology,teater,1052,0,0,
prak,sling,Artefact,teater,2004,0,0,
pranýř,pillory,Feature,teater,1551,0,0,
pravěk,prehistory,Chronology,amcr,HES-000289,0,0,
pražnice,frying pan,Artefact,amcr,HES-000771,0,0,
prejz,pantile,Artefact,amcr,HES-000773,0,0,
presbytář,presbytery,Feature,teater,1730,0,0,
privilegium,privilege,Artefact,teater,2263,0,0,
prkno,board,Artefact,teater,2351,0,0,
prkno/fošna,board/plank,Artefact,amcr,HES-000687,0,0,
projektil,projectile,Artefact,teater,2005,0,0,
projektil/kule/munice,projectile/bullet/ammunition,Artefact,amcr,HES-000755,0,0,
pronáos,pronaos,Feature,teater,1731,0,0,
propylaje,propylaea,Feature,teater,1732,0,0,
proskénion,proscenium,Feature,teater,1488,0,0,
proso,millet,Artefact,teater,1930,0,0,
prostylos,prostylos,Activity Area,teater,1317,0,0,
proutí,wattle,Material,amcr,HES-000943,0,0,
prsten,finger ring,Artefact,amcr,HES-000669,0,0,
prvohory,palaeozoic,Chronology,teater,1053,0,0,
pryskyřice,resin,Material,amcr,HES-000944,0,0,
prytaneion,prytaneion,Feature,teater,1555,0,0,
průvlečka,clothing buckle,Artefact,amcr,HES-000683,0,0,
psyktér,psykter,Artefact,teater,2070,0,0,
puklice,spangle,Artefact,teater,2329,0,0,
puteál,puteal,Feature,teater,1733,0,0,
putna,large pitcher,Artefact,teater,2071,0,0,
pyl,polen,Material,amcr,HES-001007,0,0,
pylón,pylon,Feature,teater,1734,0,0,
pyramida,pyramid,Feature,teater,1670,0,0,
pyxid,pyxis,Artefact,teater,2072,0,0,
písemnost,written document,Artefact,amcr,HES-000839,0,0,
pískovec,sandstone,Material,teater,2515,0,0,
píšťala,pipe,Artefact,teater,1841,0,0,
předměstí,suburb,Activity Area,amcr,HES-000076,0,0,
přehrada,dam,Activity Area,amcr,HES-000054,0,0,
přeslen,spindle whorl,Artefact,amcr,HES-000809,0,0,
přezka,buckle,Artefact,amcr,HES-000732,0,0,
přilba,helmet,Artefact,teater,2017,0,0,
přístav,port,Activity Area,teater,1474,0,0,
přívěsek,pendant,Artefact,teater,2398,0,0,
přívěsek/závěsek,pendant,Artefact,amcr,HES-000837,0,0,
quadrigae,quadriga,Artefact,teater,1917,0,0,
radlice,ploughshare,Artefact,teater,2160,0,0,
radnice,town hall,Feature,teater,1552,0,0,
rakev,coffin,Artefact,amcr,HES-000704,0,0,
regest,regest,Artefact,teater,2239,0,0,
regia,regia,Feature,teater,1556,0,0,
relikviář,reliquary,Artefact,teater,2073,0,0,
replika,replica,Methods,teater,214,0,0,
rescriptum,rescriptum,Artefact,teater,2240,0,0,
restaurování,restoration,Methods,teater,217,0,0,
retábl,retable,Feature,teater,1727,0,0,
rhyton,rhyton,Artefact,teater,2074,0,0,
rohovec,chert,Material,teater,2534,0,0,
rolnička,jingle bell,Artefact,amcr,HES-000701,0,0,
rondel,roundel,Activity Area,teater,1405,0,0,
rondel/rondeloid,roundel/rondeloid,Activity Area,amcr,HES-000012,0,0,
rostra,rostra,Feature,teater,1610,0,0,
rotunda,rotunda,Activity Area,teater,1341,0,0,
ruda,ore,Artefact,amcr,HES-000830,0,0,
ruina,ruin,Location & Admin,amcr,HES-001456,0,0,
rybník,pond,Activity Area,amcr,HES-000055,0,0,
rybník/nádrž,pond/water tank,Feature,amcr,HES-000505,0,0,
rydlo,graver,Artefact,amcr,HES-000810,0,0,
rytina,engraving,Artefact,teater,1883,0,0,
rýč,spade,Artefact,teater,2135,0,0,
rýžoviště,panning site,Activity Area,amcr,HES-000035,0,0,
růženec,rosary,Artefact,teater,2400,0,0,
růženec/medailon,rosary/medallion,Artefact,amcr,HES-000702,0,0,
sad,orchard,Activity Area,teater,1297,0,0,
sagum,sagum,Artefact,teater,2180,0,0,
salpinx,salpinx,Artefact,teater,1843,0,0,
sandály,sandals,Artefact,teater,2325,0,0,
saně,sleds,Artefact,teater,1911,0,0,
sapropelit,sapropel,Material,teater,2536,0,0,
sarkofág,sarcophagus,Artefact,teater,2316,0,0,
schodiště,staircase,Feature,amcr,HES-000452,0,0,
scholion,scholia,Artefact,teater,2241,0,0,
sejp,spoil heap,Feature,teater,1744,0,0,
sejp/halda,spoil heap,Feature,amcr,HES-000563,0,0,
sekera,axe,Artefact,amcr,HES-000802,0,0,
sekeromlat,hammer-axe,Artefact,teater,2006,0,0,
sekeromlat/mlat,hammer axe,Artefact,amcr,HES-000789,0,0,
sekáč,chopper,Artefact,amcr,HES-000801,0,0,
semeno,seed,Material,teater,2537,0,0,
seník,hayloft,Feature,teater,1557,0,0,
sestertius,sestertius,Artefact,teater,2292,0,0,
sistrum,sistrum,Artefact,teater,1845,0,0,
situla,situla,Artefact,teater,2075,0,0,
skanzen,open-air museum,Location & Admin,teater,248,0,0,
sklo,glass,Material,amcr,HES-000947,0,0,
sklárna,glassworks,Activity Area,amcr,HES-000030,0,0,
skořápka,egg shell,Artefact,teater,1946,0,0,
skriptorium,scriptorium,Feature,teater,1769,0,0,
skyfos,skyphos,Artefact,teater,2076,0,0,
skéné,skene,Feature,teater,1494,0,0,
skříň,wardrobe,Artefact,teater,2026,0,0,
slitek,bloom,Artefact,amcr,HES-000831,0,0,
slonovina,elephant ivory,Material,teater,2540,0,0,
slonovina/mamutovina,ivory,Material,amcr,HES-000948,0,0,
sloup,column,Feature,teater,1602,0,0,
sloupořadí,colonnade,Feature,teater,1611,0,0,
sláma,straw,Artefact,teater,1947,0,0,
socha,statue,Artefact,teater,1888,0,0,
solidus,solidus,Artefact,teater,2293,0,0,
solutréen,solutrean,Chronology,teater,1092,0,0,
spektrometrie,spectrometry,Methods,teater,177,0,0,
spilit,spilite,Material,teater,2541,0,0,
splach,solifluction,Feature,teater,1757,0,0,
splach/naplavenina,colluvial/alluvial layer,Feature,amcr,HES-000461,0,0,
spona,fibula,Artefact,amcr,HES-000733,0,0,
spondylus,spondylus,Material,amcr,HES-000949,0,0,
srp,sickle,Artefact,amcr,HES-000659,0,0,
stadion,stadion,Feature,teater,1558,0,0,
stanice,camp,Activity Area,teater,1451,0,0,
stanice/tábořiště,camp,Activity Area,amcr,HES-000066,0,0,
starověk,ancient history,Chronology,teater,1258,0,0,
statér,stater,Artefact,teater,2294,0,0,
stezka,trail,Activity Area,teater,1419,0,0,
stilo,stylus,Artefact,teater,2139,0,0,
stilus,stylus,Artefact,amcr,HES-000811,0,0,
stodola,barn,Feature,amcr,HES-000483,0,0,
stola,stola,Artefact,teater,2331,0,0,
stoá,stoa,Feature,teater,1612,0,0,
stratigrafie,stratigraphy,Methods,teater,192,0,0,
strop,ceiling,Feature,teater,1605,0,0,
struska,slag,Artefact,amcr,HES-000645,0,0,
stylobat,stylobate,Artefact,teater,1808,0,0,
stáj,stable,Feature,teater,1559,0,0,
stáj/chlév,stable/cowshed,Feature,amcr,HES-000482,0,0,
stéla,stela,Feature,amcr,HES-000469,0,0,
středověk–novověk,Middle Ages–Modern Period,Chronology,amcr,HES-000392,0,0,
stříbro,silver,Material,amcr,HES-000950,0,0,
střížek,planchet,Artefact,teater,2300,0,0,
sukno,cloth,Material,teater,2544,0,0,
surovina,raw material,Artefact,amcr,HES-000832,0,0,
synagoga,synagogue,Activity Area,amcr,HES-000024,0,0,
szeletien,Szeletian,Chronology,amcr,HES-000260,0,0,
sýpka,granary (sýpka/Getreidespeiche),Feature,teater,1561,0,0,
sýpka/špýchar,granary/storehouse,Feature,amcr,HES-000484,0,0,
tablinum,tablinum,Feature,teater,1509,0,0,
tabulka,tablet,Artefact,teater,2243,0,0,
tafonomie,taphonomy,Methods,amcr,HES-001441,0,0,
talent,talent,Artefact,teater,2295,0,0,
talíř,plate,Artefact,amcr,HES-000766,0,0,
taubachien,Taubachian,Chronology,amcr,HES-000313,0,0,
telegrafie,telegraphy,Feature,teater,1678,0,0,
telestérion,telesterion,Activity Area,teater,1318,0,0,
tell,tell,Activity Area,teater,1457,0,0,
temenos,temenos,Activity Area,teater,1319,0,0,
terakota,terracotta,Material,teater,2473,0,0,
terina,terrine,Artefact,teater,2078,0,0,
terminus,terminus,Feature,teater,1677,0,0,
termografie,thermography,Methods,teater,127,0,0,
termometrie,thermometry,Methods,teater,137,0,0,
teslice,adze,Artefact,teater,2144,0,0,
tessera,tessera,Artefact,teater,2301,0,0,
tesák,dussack,Artefact,amcr,HES-000793,0,0,
tetradrachmon,tetradrachmon,Artefact,teater,2296,0,0,
textil,textile,Material,amcr,HES-000952,0,0,
theokoleion,theocoleon,Feature,teater,1564,0,0,
thermy,thermae,Activity Area,teater,1270,0,0,
tholos,tholos,Activity Area,teater,1320,0,0,
thyrsos,thyrsos,Artefact,teater,2372,0,0,
thésauros,thesauros,Feature,teater,1737,0,0,
tišnovien,tišnovien,Chronology,teater,1094,0,0,
tolar,taler,Artefact,teater,2297,0,0,
torus,torus,Artefact,teater,1809,0,0,
totem,totem,Artefact,teater,1822,0,0,
toulec,quiver,Artefact,teater,2011,0,0,
trativod,drainage,Feature,amcr,HES-000517,0,0,
tribón,tribon,Artefact,teater,2332,0,0,
triclinium,triclinium,Feature,teater,1510,0,0,
trigae,triga,Artefact,teater,1916,0,0,
triglyf,triglyph,Artefact,teater,1810,0,0,
triptychon,triptych,Artefact,teater,2248,0,0,
triéra,trireme,Artefact,teater,1909,0,0,
trojnožka,tripod,Artefact,teater,2147,0,0,
tropaeum,tropaion,Feature,teater,1568,0,0,
trsátko,plectrum,Artefact,teater,1846,0,0,
trám,beam,Artefact,amcr,HES-000816,0,0,
tuba,tuba,Artefact,teater,1847,0,0,
tunika,tunic,Artefact,teater,2333,0,0,
tvrz/hrádek,fortified manor,Activity Area,amcr,HES-000017,0,0,
tyglík,crucible,Artefact,amcr,HES-000772,0,0,
typologie,typology,Methods,teater,287,0,0,
tyčinka,rod,Artefact,teater,1963,0,0,
tyčinka/váleček,rod/log,Artefact,amcr,HES-000765,0,0,
tábořiště,camp site,Activity Area,teater,1452,0,0,
těžba,mining activity,Activity Area,amcr,HES-000004,0,0,
třetihory,tertiary,Chronology,teater,1056,0,0,
třmen,stirrup,Artefact,amcr,HES-000671,0,0,
ubrousek,napkin,Artefact,teater,2148,0,0,
udidlo,bridle bit,Artefact,amcr,HES-000672,0,0,
uhlí,coal,Material,amcr,HES-000953,0,0,
uhlíky/popel,charcoal/ash,Artefact,amcr,HES-000781,0,0,
ulice,street,Feature,teater,1572,0,0,
univerzita,university,Location & Admin,amcr,HES-001132,0,0,
useň,hides and skins,Material,teater,2495,0,0,
uzda,bridle,Artefact,teater,1904,0,0,
valoun,pebble,Artefact,amcr,HES-000833,0,0,
varhany,organ,Artefact,teater,1849,0,0,
vavřín,laurel,Artefact,teater,2428,0,0,
vejce,eggshell,Artefact,amcr,HES-000646,0,0,
veraikon,Veronica image,Artefact,teater,1873,0,0,
vesnice/městečko,village/town,Activity Area,amcr,HES-000068,0,0,
viadukt,viaduct,Activity Area,teater,1420,0,0,
videozáznam,video recording,Methods,teater,203,0,0,
vila,villa,Activity Area,teater,1438,0,0,
vitráž,stained glass,Feature,teater,1738,0,0,
vlna,wool,Material,teater,2549,0,0,
vltavín,moldavite,Material,teater,2551,0,0,
vlys,frieze,Artefact,teater,1812,0,0,
vodoteč,riverine water bodies,Feature,amcr,HES-000474,0,0,
vodovod,water supply pipe,Feature,amcr,HES-000518,0,0,
vosk,wax,Material,amcr,HES-000957,0,0,
vrstva/souvrství,layer/layer sequence,Feature,amcr,HES-000453,0,0,
vrt,sediment core sample,Methods,amcr,HES-001146,0,0,
vrták,borer,Artefact,teater,2151,0,0,
vytápění,heating,Feature,teater,1648,0,0,
vzorek,sample,Artefact,amcr,HES-000818,0,0,
váza,vase,Artefact,amcr,HES-000841,0,0,
víno,wine,Artefact,teater,2429,0,0,
výheň,furnace,Feature,teater,1700,0,0,
výplň/zásyp,fill/deposit,Feature,amcr,HES-000462,0,0,
výroba,production activity,Activity Area,amcr,HES-000003,0,0,
vývrat,windthrow,Feature,amcr,HES-000475,0,0,
vědro,bucket,Artefact,teater,2083,0,0,
vědro/situla,bucket/situla,Artefact,amcr,HES-000819,0,0,
věnec,wreath,Artefact,teater,2334,0,0,
věznice,prison,Feature,teater,1565,0,0,
věštírna,oracle,Activity Area,teater,1321,0,0,
věžice,half tower,Feature,amcr,HES-000510,0,0,
vůz,cart,Artefact,teater,1912,0,0,
xoanon,xoanon,Artefact,teater,1816,0,0,
zahrada,garden,Activity Area,amcr,HES-000526,0,0,
zahrada/sad,garden,Activity Area,amcr,HES-000040,0,0,
zavazadlo,luggage,Artefact,amcr,HES-000638,0,0,
zbroj,armor,Artefact,teater,2013,0,0,
zemnice,pithouse,Feature,teater,1786,0,0,
zinek,zinc,Material,teater,2487,0,0,
zlatka,gulden,Artefact,teater,2298,0,0,
zlato,gold,Material,amcr,HES-000958,0,0,
zrcadlo,mirror,Artefact,teater,2165,0,0,
zrnotěrka,grinding slab,Artefact,teater,2163,0,0,
zub,tooth,Artefact,amcr,HES-000647,0,0,
zvonek,bell,Artefact,teater,2166,0,0,
zvonice,bell tower,Feature,amcr,HES-000485,0,0,
záchod,toilet,Feature,teater,1511,0,0,
základy,foundations,Feature,amcr,HES-000498,0,0,
zákop,trench,Feature,amcr,HES-000535,0,0,
zámek/zámeček/vila,chateau/villa,Activity Area,amcr,HES-000018,0,0,
zápona,clasp,Artefact,amcr,HES-000637,0,0,
záušnice,temple ring,Artefact,amcr,HES-000838,0,0,
závaží,weight,Artefact,amcr,HES-000718,0,0,
závěť,will,Artefact,teater,2272,0,0,
ódeion,odeon,Feature,teater,1539,0,0,
úvoz,hollow way,Feature,amcr,HES-000524,0,0,
úštěp,flake,Artefact,teater,2308,0,0,
čelenka,head ornament,Artefact,teater,2379,0,0,
čepel,blade,Artefact,teater,2090,0,0,
čepel/čepelka,blade/small blade,Artefact,amcr,HES-000662,0,0,
čepelka,bladelet,Artefact,teater,2091,0,0,
čerpák,kyathos,Artefact,teater,2036,0,0,
činka,dumbbell,Artefact,teater,2404,0,0,
člun,boat,Artefact,amcr,HES-000744,0,0,
čtvrtohory,Quaternary,Chronology,teater,1059,0,0,
řetízek,chain necklace,Artefact,amcr,HES-000756,0,0,
řetěz,chain,Artefact,amcr,HES-000814,0,0,
řez,linear trench,Methods,amcr,HES-001148,0,0,
římsa,geison,Artefact,teater,1806,0,0,
šachovnice,chessboard,Artefact,teater,1969,0,0,
šachta,shaft,Feature,amcr,HES-000564,0,0,
šachy,chess,Artefact,teater,1967,0,0,
šavle,sabre,Artefact,amcr,HES-000791,0,0,
šibenice,gallows,Feature,amcr,HES-000511,0,0,
škrabadlo,endscraper,Artefact,amcr,HES-000660,0,0,
špendlík,pin,Artefact,teater,2142,0,0,
šperk,jewel,Artefact,teater,2374,0,0,
špičák,pick,Artefact,teater,2143,0,0,
špýchar,granary (špýchar/Speicher),Feature,teater,1563,0,0,
štola,adit,Feature,amcr,HES-000565,0,0,
štít,shield,Artefact,teater,1973,0,0,
švartna,sapropel,Material,amcr,HES-000951,0,0,
šídlo,awl,Artefact,amcr,HES-000827,0,0,
žaltář,psalter,Artefact,teater,2234,0,0,
žalář,jailhouse,Feature,teater,1566,0,0,
železnice,railway,Activity Area,amcr,HES-000050,0,0,
železo,iron,Material,amcr,HES-000962,0,0,
žernov,quern,Artefact,teater,2164,0,0,
žeton,token,Artefact,amcr,HES-000762,0,0,
žito,rye,Artefact,teater,1934,0,0,
žlab,ditch,Feature,amcr,HES-000490,0,0,
žároviště,burned layer,Feature,amcr,HES-000463,0,0,
