cs,en,facet,source,source_id,doc_count,occurrences,example_lines
ornice,arable topsoil,Finds Context,amcr,HES-000243,2,5,"CTX192100040 p2 l27: při opatrném odhrabání asi 20 cm ornice nalezl jsem celé "" hnízdy n: na; CTX192100040 p3 l29: svužvje směrem k potoku.Půda ornice byla během času jistě splavena níže,takže; CTX192100040 p4 l7: TozŮstetkemjakésihradby kamenné.Pří mezi té jsem-nslezl pod ornici i vní"
středověk,Middle Ages,Chronology,amcr,HES-000380,4,5,"CTX000000001 p2 l1: Nalezená keramika pochází z raného středověku.; CTX196006127 p1 l20: středověk; CTX196300443 p1 l18: Mladší pravěké kultury nejsou zastoupeny, středověk jen drobnými"
zboží,trade good,Artefact,teater,2407,2,5,"CTX198402945 p1 l33: berounského zboží. Nad touto vrstvou byla horní část jímky; CTX198402945 p1 l43: a obsahuje pozdní berounské zboží /režná keramika s předžahem,; CTX198402945 p1 l49: zboží - zde převažuje režná, cihlově zbarvená keramika,"
hradiště,hillfort,Activity Area,amcr,HES-000072,3,4,CTX000000001 p1 l1: Výzkumná zpráva č. 1/2024 — Hradiště u Horní Mezí; CTX000000002 p1 l1: HRADIŠTĚ U HORNÍ MEZÍ; CTX195603828 p1 l3: Výzkum slovanského hradiště
lom,quarry,Activity Area,amcr,HES-000034,1,4,"CTX193001369 p3 l22: břicha jest zaoblený lom. Vyroben jest z jemné tmavěšedé hlíny.; CTX193001369 p5 l33: lomem v nojetším objemu, hrubě pracovaný ze šedožluté hlíny. Rozměry; CTX193001369 p6 l15: Nádoba ±.. Nezdobený zvoncový pohár se zaobleným lomem na spoaní části. Dno"
podlaha,floor,Feature,teater,1595,1,4,"CTX199603106 p2 l16: snižována podlaha v jedné z místnosti při západní fasádě objektu nad; CTX199603106 p2 l23: nevelkém dochovaném úseku bylo zdivo překryto podlahou z cihel; CTX199603106 p2 l26: torzo 70 cm vysoké a cm dlouhé. Po snížení podlahy bylo zřejmé, že"
as,as,Artefact,teater,2277,3,3,CTX192100040 p2 l11: čarou as 4 km - za obcí Nenačovicemi při pravém břehu lodenického potoka; CTX192601143 p1 l45: -v/as* yXk); CTX193001369 p4 l33: J . lAct as PzoleXle) -
bronz,bronze,Material,amcr,HES-000904,1,3,"CTX196300443 p1 l17: v Blovicích depot z rShraní Bda BD v Libákovicích a mohylové bronzy z Járova.; CTX196300443 p1 l33: Jarov - bronz, terčoví tá jehlice, 2 pečetítkové j ehlic e, tyčink. nátamek; CTX196300443 p1 l34: z rozrušené mohyly v Cábuzí /střední d.bronz/"
budova,building,Finds Context,amcr,HES-000250,1,3,"CTX199603106 p2 l8: z roku 1606. V dalžím vývoj i byl o na budově dostaveno 3. patro,; CTX199603106 p2 l10: modelu. Dnešní vzhled budovy je výsledkem klasicistní přestavby; CTX199603106 p6 l8: Vilímková Milada - Ebel Martin 1988, Stručné dějiny budovy, in:"
dokumentace,documentation,Methods,teater,195,3,3,"CTX199603106 p5 l15: za výjimečný zjev. Provedenou dokumentací tak byla potvrzena; CTX201405311 p1 l28: Kutná Hora). Terénní dokumentace je uložena v Archeologickém ústavu AV ČR, Praha, v.v.i., pracoviště; CTX201601688 p3 l71: Terénní a obrazová dokumentace"
důl,mine,Activity Area,amcr,HES-000033,1,3,"CTX192100040 p5 l27: účetnímu dolu; CTX192100040 p8 l14: že účetní dolu čís. V.v Jhrusten icích Josef Jhoc z Lodenice čp.158 jest; CTX192100040 p13 l13: udělili Josefu C h o c o v i , účetnímu dolu v Chrustenicích jako"
hrot,point,Artefact,teater,1958,2,3,"CTX193001369 p2 l35: drsnější straně zvýšení není tak patrno. Hrot čepele chybí. Zachovaná; CTX193001369 p5 l17: 3/ Pazourkovášipka s jemně vypracovaným hrotem a rovně se sbíhají-; CTX199603106 p4 l29: gotického pilíře, jehož hrot předpokládáme v těsné blízkosti jižního"
klášter,monastery,Activity Area,amcr,HES-000073,1,3,"CTX192100040 p3 l17: jest psáno,že * dle urbáře kláštera Strahovského z r.1416. /Erben, Reg. 106/; CTX192100040 p8 l11: Praze. .Strahovský klášter; CTX192100040 p13 l11: v klášteře Strahovském."
kroužek,ring (kroužek/Ring),Artefact,teater,1960,1,3,"CTX201601688 p2 l20: 2. Sběr archeologický kroužek Villa Nova pod vedením D. Vícha.; CTX201601688 p2 l31: 2. Sběr archeologický kroužek Villa Nova 11. 8. 1998, úbočí hradního kopce směrem; CTX201601688 p3 l39: kroužek(viz."
kámen,stone,Material,amcr,HES-000927,3,3,"CTX193001369 p3 l3: 6/ Nátepní desička vybroušená ze šedočernéno vrstevnatého kamene,; CTX195603828 p1 l28: pohřby.Hroby byly obloženy kameny,kostry v natažené poloze; CTX198402945 p1 l31: zvýšeným dnem z plochých kamenů. Na tomto dně spočívala"
loděnice,dockyard,Activity Area,teater,1473,1,3,"CTX192100040 p2 l10: Směrem sev.záp.od městyse Loděnice,1 hod.cesty - vzdušnou; CTX192100040 p5 l28: v Loděnicích u Berouna.; CTX192100040 p13 l17: Chrustenice ( pošta Loděnice u Berouna ) léží při trati"
mohyla,burial mound,Feature,amcr,HES-000431,1,3,"CTX196300443 p1 l34: z rozrušené mohyly v Cábuzí /střední d.bronz/; CTX196300443 p1 l38: Vlčice - Chýlava - středověká keramika, údajně ""Z mohyl*.; CTX196300443 p1 l39: v muzeu je uložen rukopis zprávy Jana Žáka z r.1881 o výkopech mohyl"
město,city,Activity Area,amcr,HES-000074,3,3,CTX198402945 p2 l2: spojovat tuto spodní vrstvu s katastrofálním požárem města; CTX199603106 p1 l4: KŘIŽOVNICKÉN NÁMĚSTÍ NA STARÉM MĚSTĚ PRAŽSKÉM; CTX201405311 p1 l19: Akce probíhala na západním okraji města v poloze „Vodranty“. V těsném sousedství stavby došlo v minulosti
náměstí,square,Activity Area,teater,1471,2,3,"CTX198402945 p1 l25: nám. v Berouně odkryli patrně provozní jímku hlubokou 180 cm,; CTX198402945 p2 l11: dosáhla u náměstí hloubky pouze c. 180 cm, kde jsme narazili; CTX199603106 p1 l4: KŘIŽOVNICKÉN NÁMĚSTÍ NA STARÉM MĚSTĚ PRAŽSKÉM"
okr,ochre,Material,teater,2433,3,3,"CTX195603828 p1 l19: jižní hradby na okr- ji hradiska s kamennou; CTX200603179 p1 l1: BÍTOV U KONĚPRUS, OKR. BEROUN - STAVBA ELEKTRICKÉ PŘÍPOJKY K RD"
pramen,spring,Feature,amcr,HES-000473,2,3,CTX192100040 p3 l14: měšt. školy z roku 1890 - Jiné prameny jsou mi zde nedostupné - byla již; CTX192100040 p4 l20: různé prameny.; CTX199603106 p2 l9: které zaznamenávají mladší ikonografické prameny včetně Langveilova
velkostatek,estate,Activity Area,teater,1282,1,3,"CTX192100040 p2 l13: majetkem velkostatku v Chrustenicích - pole s ní sousedící čís.kat.218 jest; CTX192100040 p8 l22: ká,parcela 222a 222 a/,patřící zdejšímu státnímu velkostatku několik; CTX192100040 p13 l16: v obci chrustenické, náležejících velkostatku."
váha,scale,Artefact,teater,2149,1,3,"CTX201601688 p3 l29: další na podhrdlí, váha 90,9g.; CTX201601688 p3 l51: mazanice, váha 182,1g.; CTX201601688 p3 l69: století, váha 14,6g."
šipka,dart,Artefact,teater,2009,1,3,"CTX193001369 p4 l36: tři pazourkové šipky. Hrob byl i s milodary v původní poloze vyzvednut a; CTX193001369 p5 l13: 2,4 Pazourková šipka, jemně vyretušovama y , . % .; CTX193001369 p5 l20: 4/ Pazourková široká šipka. D- mm,š.- mm. ' -"
cihla,brick,Artefact,amcr,HES-000813,1,2,"CTX199603106 p2 l23: nevelkém dochovaném úseku bylo zdivo překryto podlahou z cihel; CTX199603106 p3 l3: charakteru s příměsí malty a úlomků opuky a cihel, ani ä v ní byly"
deska,board,Artefact,amcr,HES-000712,1,2,CTX195704328 p1 l22: opukovými deskami a s keramikou s hladce vymezenými prsovitý-; CTX195704328 p1 l30: opět opukové desky. Dále byly nalezeny v přehozeném materiálu zlomky
hradba,defensive wall,Feature,amcr,HES-000530,1,2,"CTX195603828 p1 l12: křížovou sondou bylo ověřeno ukončení hradby středního vslu,; CTX195603828 p1 l19: jižní hradby na okr- ji hradiska s kamennou"
kopie,facsimile,Methods,teater,213,1,2,"CTX192100040 p4 l23: nt ■ "" o Zároveň bych přinesl stéž plének,kopii místa nálen vzatu z ckatastá; CTX192100040 p6 l25: Taxtéž na kopii plániu na-"
kostel,church,Feature,amcr,HES-000021,2,2,CTX195603828 p2 l3: kostel nebo jiné centrum hrobové akumulace.; CTX199603106 p5 l26: (křižovnícký kostel sv. Františka) jsou v bezprostřední blízkosti.
kult,ritual activity,Activity Area,amcr,HES-000005,2,2,"CTX198603218 p1 l2: 1980-81 - KULT: Středověk. LOK: ZSV Kravín, ca 6,5km JV od Tábora; Ikm sev. od silnice; CTX199405706 p1 l4: 504/1 DAT: 1820. KULT: 7. LOK: Bubníkova usedlost. NALEZ: kostr. hrob."
předhradí,bailey,Feature,teater,1636,1,2,"CTX201601688 p2 l12: Hrad na ostrožně, dvojdílný (předhradí a vlastní hradní areál, patrně plášťový). Patrně založen; CTX201601688 p2 l29: 1. Sběr J. Slavík nad vnitřním příkopem jak ze strany předhradí tak vlastního hradu (viz"
příkop,moat,Feature,amcr,HES-000508,2,2,CTX196006127 p1 l46: širokým příkopem; popsaná stavba není na nejvyšším bode ostrožny.; CTX201601688 p2 l29: 1. Sběr J. Slavík nad vnitřním příkopem jak ze strany předhradí tak vlastního hradu (viz
