cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
amfora,amphorae,amcr,HES-000652,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
amorfní zlomek/předmět,amorphous fragment/object,amcr,HES-000707,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
architektonický článek,architectural element,amcr,HES-000709,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
atypický předmět,exceptional object,amcr,HES-000708,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
bankovka,paper money,amcr,HES-000650,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
brousek,whetstone,amcr,HES-000803,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
brusle,ice skate,amcr,HES-000743,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
bulava,club,amcr,HES-000785,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
běžný nález,common find,amcr,HES-000842,predmet_druh_kat,druh předmětu (kategorie),Artefact,heslar:predmet_druh_kat,0
břitva,razor,amcr,HES-000661,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
cedník,colander,amcr,HES-000682,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
cihla,brick,amcr,HES-000813,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
deska,board,amcr,HES-000712,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dlaždice,floor tile,amcr,HES-000678,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dláto,chisel,amcr,HES-000824,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
doklad umění/kultu,artistic/ritual object,amcr,HES-000641,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
drasadlo,side scraper,amcr,HES-000715,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
drtidlo/zrnotěrka,handstone/saddle quern,amcr,HES-000795,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
drát,wire,amcr,HES-000782,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dyzna,nozzle,amcr,HES-000689,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dýka,dagger,amcr,HES-000820,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
dýmka,pipe,amcr,HES-000635,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
džbán,jug,amcr,HES-000636,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ekofakt,ecofact,amcr,HES-000775,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
faléra,phalera,amcr,HES-000745,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
funkčně neurčený předmět,object of unspecified function,amcr,HES-000846,predmet_druh_kat,druh předmětu (kategorie),Artefact,heslar:predmet_druh_kat,0
gemma,gem,amcr,HES-000731,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
gombík,spherical button,amcr,HES-000693,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
herní předmět,game equipment,amcr,HES-000681,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hladítko,smoother,amcr,HES-000825,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hrací kostka,dice,amcr,HES-000696,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hrací kámen,game piece,amcr,HES-000684,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hrnec,pot,amcr,HES-000768,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hrot/hák,spike/hook,amcr,HES-000783,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
hudební nástroj,musical instrument,amcr,HES-000749,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hřeb/hřebík/nýt,nail/rivet,amcr,HES-000679,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,3
hřeben,comb,amcr,HES-000826,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
hřivna,ingot,amcr,HES-000829,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
jehla/špendlík,needle/pin,amcr,HES-000804,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
jehlice,clothing pin,amcr,HES-000699,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kachel,stove tile,amcr,HES-000736,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kadlub,mold,amcr,HES-000716,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kamenná industrie,lithics,amcr,HES-000640,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kamenné jádro,stone core,amcr,HES-000776,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kaptorga,kaptorga (metal pendant case),amcr,HES-000700,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kladivo/palice,hammer/sledgehammer,amcr,HES-000796,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
kleště,pliers,amcr,HES-000797,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
klín,wedge,amcr,HES-000717,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
klíč,key,amcr,HES-000728,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kniha,book,amcr,HES-000840,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
knoflík,button,amcr,HES-000675,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
koflík,cup,amcr,HES-000769,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
konvice,pitcher,amcr,HES-000690,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kopí/hrot kopí,spear/spearhead,amcr,HES-000821,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
korálek,bead,amcr,HES-000663,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kosa,scythe,amcr,HES-000798,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kost,single bone,amcr,HES-000753,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kostra,skeleton,amcr,HES-000642,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kotel/kotlík,kettle,amcr,HES-000770,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
kovadlina,anvil,amcr,HES-000654,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kování,mount,amcr,HES-000694,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kroužek/kruh,circle/ring,amcr,HES-000764,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
kulička/koule,ball/sphere,amcr,HES-000760,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
kuše,crossbow,amcr,HES-000822,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
křesadlo/ocílka,firesteel,amcr,HES-000729,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
křížek,cross,amcr,HES-000664,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
kůl,pole,amcr,HES-000737,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
lahev,bottle,amcr,HES-000691,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
lampa/kahan,lamp/burner,amcr,HES-000695,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
listina,deed,amcr,HES-000670,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
lopata/rýč,shovel/spade,amcr,HES-000655,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
luk,bow,amcr,HES-000823,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
lžíce,spoon,amcr,HES-000730,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
malakofauna,mollusca,amcr,HES-000777,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
meč,sword,amcr,HES-000786,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
militaria,weapons and armour,amcr,HES-000784,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
mince,coin,amcr,HES-000794,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
motyka/krumpáč,mattock/pickaxe,amcr,HES-000799,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
mísa,bowl,amcr,HES-000719,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nehotový výrobek/polotovar,semiproduct/blank,amcr,HES-000828,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
nádoba,vessel,amcr,HES-000714,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
náhrdelník,necklace,amcr,HES-000835,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nákončí,mordant,amcr,HES-000668,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nákrčník,neck ring,amcr,HES-000665,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nánožník,anklet,amcr,HES-000836,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nápažník,armlet,amcr,HES-000812,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
náprstek,thimble,amcr,HES-000805,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
náramek,bracelet,amcr,HES-000666,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nástroj hrubý,utensil,amcr,HES-000653,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nástroj jemný,instrument,amcr,HES-000727,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nátepní destička,wrist guard,amcr,HES-000734,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
náušnice,earring,amcr,HES-000667,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nůž,knife,amcr,HES-000806,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
nůžky,scissors,amcr,HES-000807,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
obuv,footwear,amcr,HES-000735,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
odpad,waste,amcr,HES-000778,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
odpad stavební,construction waste,amcr,HES-000779,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
odpad výrobní,production waste,amcr,HES-000780,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
okenní výplň,window panes,amcr,HES-000738,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
omítka,plaster,amcr,HES-000739,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
opasek,belt,amcr,HES-000676,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ostruha,spur,amcr,HES-000787,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ostění,jamb,amcr,HES-000710,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
otloukač,hammerstone,amcr,HES-000656,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ozdoba,adornment,amcr,HES-000834,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
oštěp/hrot oštěpu,javelin/javelin head,amcr,HES-000788,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
pekáč,baking pan,amcr,HES-000761,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pila,saw,amcr,HES-000657,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pilník,file,amcr,HES-000800,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pinzeta,tweezers,amcr,HES-000808,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
plastika/soška,sculpture/statue,amcr,HES-000750,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
plastika/soška antropomorfní,anthropomorphic sculpture/statue,amcr,HES-000751,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
plastika/soška zoomorfní,zoomorphic sculpture/statue,amcr,HES-000752,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
platidlo,currency,amcr,HES-000848,predmet_druh_kat,druh předmětu (kategorie),Artefact,heslar:predmet_druh_kat,0
plech,metal sheet,amcr,HES-000680,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pochva/pouzdro,sheath,amcr,HES-000677,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
podkova,horseshoe,amcr,HES-000746,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pohár/číše,beaker/goblet,amcr,HES-000722,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
pojivo,binder,amcr,HES-000740,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
poklička,lid,amcr,HES-000724,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
popelnice,urn,amcr,HES-000726,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
portál,portal,amcr,HES-000711,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
postroj/doprava,harness/transportation,amcr,HES-000742,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
potrubí,plumbing pipe,amcr,HES-000741,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pražnice,frying pan,amcr,HES-000771,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
prejz,pantile,amcr,HES-000773,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
