document_id,keyword1,score1,keyword2,score2,keyword3,score3,keyword4,score4,keyword5,score5,keyword6,score6,keyword7,score7,keyword8,score8,keyword9,score9,keyword10,score10,keyword11,score11,keyword12,score12,keyword13,score13,keyword14,score14,keyword15,score15,keyword16,score16,keyword17,score17,keyword18,score18,keyword19,score19,keyword20,score20
CTX197206899,tvrz,2.0,okres,1.0,litoměřice,1.0,ves,1.0,kilometr,1.0,sz,1.0,libochovice,1.0,zaležený,1.0,rok,1.0,místo,1.0,dnešní,1.0,dvůr,1.0,stát,1.0,statek,1.0,stopa,1.0,zmínka,1.0,it,1.0,hrad,1.0,msi,1.0,celkový,1.0
CTX197305361,centimetr,10.0,gegenstand,6.0,wts,6.0,eger,5.0,xr,4.0,oskar,3.0,steidl,3.0,bemerkungen,3.0,karlsbad,3.0,farbe,2.0,reg,2.0,kreis,2.0,mi,1.0,kat,1.0,gwis,1.0,grau,1.0,we,1.0,nr,1.0,krets,1.0,ar,1.0
CTX197401213,děčín,3.0,om,3.0,návštěva,2.0,zpráva,2.0,koreferent,2.0,komise,2.0,cesta,2.0,další,2.0,kat,1.0,obec,1.0,čsav,1.0,arceologcky,1.0,ústav,1.0,osada,1.0,trať,1.0,okres,1.0,druh,1.0,kultura,1.0,vedakce,1.0,výzkum,1.0
CTX197408754,ved,2.0,výzkum,2.0,zpráva,2.0,den,2.0,objekt,2.0,možný,2.0,druh,1.0,kultura,1.0,kors,1.0,sesnta,1.0,období,1.0,oddělení,1.0,základ,1.0,hlášení,1.0,spolupracovník,1.0,průzkum,1.0,teplárna,1.0,silnice,1.0,punéřův,1.0,území,1.0
CTX197600802,centimetr,320.0,milimetr,269.0,písek,113.0,sonda,112.0,úštěp,112.0,nález,94.0,kus,91.0,povrch,80.0,metr,78.0,pazourek,78.0,hlavní,74.0,ornice,61.0,jádro,60.0,industrie,58.0,zlomek,58.0,artefakt,52.0,výzkum,50.0,dno,49.0,vel,49.0,sektor,46.0
CTX197607023,číslo,44.0,přodnik,36.0,diaf,23.0,knovízský,19.0,jáma,17.0,vrstva,17.0,zl,14.0,část,13.0,ovis,7.0,rádius,7.0,zlomek,6.0,juv,6.0,rok,6.0,př,6.0,knovizský,6.0,neurčený,5.0,jz,5.0,laténský,4.0,jama,3.0,záp,3.0
CTX197802887,most,3.0,hrob,3.0,den,2.0,vršek,2.0,důl,2.0,exp,2.0,bz,1.0,kopista,1.0,okrázek,1.0,kult,1.0,únětický,1.0,lok,1.0,páčidlo,1.0,okol,1.0,převzatý,1.0,vědět,1.0,dr,1.0,muška,1.0,nález,1.0,bagrování,1.0
CTX197906019,sonda,20.0,vnitřní,20.0,vrstva,20.0,příkop,11.0,zeď,10.0,hradební,9.0,objekt,8.0,opevnění,7.0,destrukce,6.0,výzkum,4.0,okraj,4.0,palisáda,4.0,den,4.0,předhradí,3.0,ssz,3.0,směr,3.0,dno,3.0,fortifikace,3.0,vyvýšenina,3.0,část,3.0
CTX198101990,obec,4.0,kněžice,3.0,průzkum,3.0,most,3.0,katastr,2.0,louny,2.0,lineární,2.0,mohylový,2.0,sběr,2.0,zpráva,2.0,komise,2.0,květen,2.0,povrchový,2.0,hlášení,2.0,číslo,2.0,trať,2.0,poloha,2.0,kat,1.0,osada,1.0,okres,1.0
CTX198203882,metr,2.0,písek,2.0,čj,1.0,bz,1.0,strana,1.0,pohorovice,1.0,křtětice,1.0,okrázek,1.0,strakonice,1.0,kult,1.0,pravěk,1.0,blízký,1.0,výběžkyurčení,1.0,lok,1.0,pole,1.0,píeečná,1.0,jz,1.0,dvůr,1.0,dvorce,1.0,sz,1.0
CTX198303461,práce,4.0,ved,2.0,pleinerová,2.0,zpráva,2.0,skončení,2.0,stavba,2.0,číslo,2.0,kat,1.0,území,1.0,obec,1.0,březno,1.0,trať,1.0,okres,1.0,louny,1.0,kultura,1.0,druh,1.0,nález,1.0,stavební,1.0,experiment,1.0,výzkum,1.0
